rank,word,lemma,occurrences
1,que,que,32894.0
2,de,de,32116.0
3,no,no,29897.0
4,a,a,22313.0
5,la,la,21127.0
6,el,el,18112.0
7,es,ser,16620.0
8,y,y,15743.0
9,en,en,15303.0
10,lo,lo,14010.0
11,un,un,13410.0
12,por,por,10261.0
13,qué,qué,9903.0
14,me,me,9692.0
15,una,un,8656.0
16,te,te,8094.0
17,los,lo,7589.0
18,se,se,7426.0
19,con,con,6799.0
20,para,para,6455.0
21,mi,mi,5987.0
22,está,estar,5909.0
23,si,si,5880.0
24,bien,bien,5293.0
25,pero,pero,5012.0
26,yo,yo,4800.0
27,eso,eso,4788.0
28,las,la,4748.0
29,sí,sí,4704.0
30,su,su,4549.0
31,tu,tu,4194.0
32,aquí,aquí,3952.0
33,del,del,3911.0
34,al,al,3887.0
35,como,como,1880.0
36,como,comer,1880.0
37,le,le,3470.0
38,más,más,3395.0
39,esto,esto,3152.0
40,ya,ya,2944.0
41,todo,todo,2929.0
42,esta,esta,2927.0
43,vamos,ir,2830.0
44,muy,muy,2618.0
45,hay,haber,2584.0
46,ahora,ahora,2523.0
47,algo,algo,2469.0
48,estoy,estar,2454.0
49,tengo,tener,2349.0
50,nos,nos,2247.0
51,tú,tú,2232.0
52,nada,nada,2122.0
53,cuando,cuando,2098.0
54,ha,haber,2079.0
55,este,este,2069.0
56,sé,saber,2066.0
57,estás,estar,2045.0
58,así,así,2044.0
59,puedo,poder,1972.0
60,cómo,cómo,1969.0
61,quiero,querer,1940.0
62,sólo,sólo,1933.0
63,soy,ser,1913.0
64,tiene,tener,1908.0
65,gracias,gracias,1886.0
66,o,o,1850.0
67,él,él,1836.0
68,bueno,bueno,1824.0
69,fue,ser,905.5
70,fue,ir,905.5
71,ser,ser,1782.0
72,hacer,hacer,1749.0
73,son,ser,1703.0
74,todos,todo,1687.0
75,era,ser,1677.0
76,eres,ser,1677.0
77,vez,vez,1652.0
78,tienes,tener,1636.0
79,creo,creer,1584.0
80,ella,ella,1570.0
81,he,haber,1570.0
82,ese,ese,1508.0
83,voy,ir,1478.0
84,puede,poder,1433.0
85,sabes,saber,1422.0
86,hola,hola,1393.0
87,sus,su,1384.0
88,porque,porque,1362.0
89,dios,dios,1356.0
90,quién,quién,1351.0
91,nunca,nunca,1342.0
92,dónde,dónde,1335.0
93,quieres,querer,1331.0
94,casa,casa,665.0
95,casa,casar,665.0
96,favor,favor,1313.0
97,esa,ese,1306.0
98,dos,dos,1301.0
99,tan,tanto,1291.0
100,señor,señor,1289.0
101,tiempo,tiempo,1288.0
102,verdad,verdad,1269.0
103,estaba,estar,1250.0
104,mejor,mejor,1234.0
105,están,estar,1232.0
106,va,ir,1219.0
107,hombre,hombre,1219.0
108,usted,usted,1218.0
109,mucho,mucho,1208.0
110,hace,hacer,1195.0
111,entonces,entonces,1194.0
112,siento,sentir,593.0
113,siento,sentar,593.0
114,tenemos,tener,1177.0
115,puedes,poder,1134.0
116,ahí,ahí,1126.0
117,ti,ti,1103.0
118,vida,vida,1101.0
119,ver,ver,1097.0
120,alguien,alguien,1046.0
121,sr,señor,1040.0
122,hasta,hasta,1032.0
123,sin,sin,1029.0
124,mí,mí,1022.0
125,solo,solo,1013.0
126,años,año,1003.0
127,sobre,sobre,996.0
128,decir,decir,995.0
129,uno,uno,993.0
130,siempre,siempre,986.0
131,oh,oh,985.0
132,ir,ir,964.0
133,cosas,cosa,481.0
134,cosas,coser,481.0
135,también,también,962.0
136,antes,antes,955.0
137,has,haber,942.0
138,ni,ni,941.0
139,mis,mi,937.0
140,día,día,917.0
141,estar,estar,907.0
142,estamos,estar,906.0
143,noche,noche,868.0
144,nadie,nadie,865.0
145,otra,otro,857.0
146,quiere,querer,855.0
147,parece,parecer,851.0
148,nosotros,nosotros,847.0
149,poco,poco,844.0
150,padre,padre,833.0
151,trabajo,trabajo,414.0
152,trabajo,trabajar,414.0
153,gente,gente,827.0
154,mira,mirar,825.0
155,vas,ir,817.0
156,sea,ser,814.0
157,les,les,806.0
158,donde,donde,806.0
159,mismo,mismo,796.0
160,hecho,hacer,397.5
161,hecho,hecho,397.5
162,ellos,ellos,792.0
163,dijo,decir,770.0
164,pasa,pasar,751.0
165,dinero,dinero,740.0
166,hijo,hijo,728.0
167,tal,tal,724.0
168,otro,otro,710.0
169,hablar,hablar,706.0
170,seguro,seguro,704.0
171,claro,claro,699.0
172,estas,este,685.0
173,lugar,lugar,684.0
174,mundo,mundo,683.0
175,amigo,amigo,678.0
176,espera,esperar,337.0
177,espera,espera,337.0
178,mierda,mierda,673.0
179,han,haber,673.0
180,tus,tu,670.0
181,sabe,saber,669.0
182,después,después,661.0
183,momento,momento,656.0
184,desde,desde,653.0
185,fuera,fuera,216.66666666666666
186,fuera,ir,216.66666666666666
187,fuera,ser,216.66666666666666
188,cosa,cosa,324.0
189,cosa,coser,324.0
190,tipo,tipo,647.0
191,mañana,mañana,646.0
192,podemos,poder,623.0
193,dije,decir,617.0
194,gran,grande,608.0
195,necesito,necesitar,607.0
196,estado,estar,298.5
197,estado,estado,298.5
198,podría,poder,591.0
199,acuerdo,acordar,295.5
200,acuerdo,acuerdo,295.5
201,papá,papá,587.0
202,tener,tener,583.0
203,dice,decir,583.0
204,mío,mío,581.0
205,crees,creer,580.0
206,buena,bueno,289.0
207,buena,buena,289.0
208,gusta,gustar,573.0
209,nuestro,nuestro,573.0
210,nuevo,nuevo,572.0
211,será,ser,570.0
212,haciendo,hacer,568.0
213,días,día,566.0
214,nombre,nombre,565.0
215,buen,bueno,565.0
216,había,haber,564.0
217,ven,ver,282.0
218,ven,venir,282.0
219,tres,tres,562.0
220,menos,menos,560.0
221,debe,deber,560.0
222,tenía,tener,555.0
223,mal,mal,553.0
224,conmigo,conmigo,551.0
225,madre,madre,549.0
226,hoy,hoy,548.0
227,quien,quien,547.0
228,sido,ser,534.0
229,mamá,mamá,530.0
230,tienen,tener,529.0
231,luego,luego,519.0
232,todas,todo,516.0
233,allí,allí,507.0
234,toda,todo,502.0
235,hora,hora,498.0
236,mujer,mujer,495.0
237,visto,ver,490.0
238,haces,hacer,490.0
239,importa,importar,487.0
240,contigo,contigo,486.0
241,ve,ver,240.5
242,ve,ir,240.5
243,tarde,tarde,240.0
244,tarde,tardar,240.0
245,oye,oír,480.0
246,parte,partir,239.5
247,parte,parte,239.5
248,haber,haber,477.0
249,hombres,hombre,477.0
250,problema,problema,470.0
251,mas,mas,469.0
252,saber,saber,465.0
253,quería,querer,463.0
254,aún,aún,461.0
255,veces,vez,460.0
256,nuestra,nuestro,458.0
257,hacerlo,hacer,454.0
258,cada,cada,449.0
259,hizo,hacer,440.0
260,veo,ver,439.0
261,tanto,tanto,438.0
262,razón,razón,437.0
263,ustedes,usted,437.0
264,idea,idea,432.0
265,esos,eso,426.0
266,van,ir,424.0
267,quizá,quizá,422.0
268,debo,deber,421.0
269,alguna,alguno,420.0
270,cierto,cierto,419.0
271,ud,usted,414.0
272,muerto,muerto,206.5
273,muerto,morir,206.5
274,unos,un,410.0
275,estos,este,408.0
276,salir,salir,407.0
277,policía,policía,407.0
278,realmente,realmente,402.0
279,demasiado,demasiado,402.0
280,familia,familia,399.0
281,pueden,poder,396.0
282,cabeza,cabeza,396.0
283,hemos,haber,391.0
284,amigos,amigo,386.0
285,chica,chico,191.5
286,chica,chica,191.5
287,cariño,cariño,382.0
288,lado,lado,382.0
289,allá,allá,380.0
290,entre,entre,379.0
291,minutos,minuto,379.0
292,digo,decir,378.0
293,algún,algún,378.0
294,serio,serio,375.0
295,cuidado,cuidar,186.0
296,cuidado,cuidado,186.0
297,pasó,pasar,371.0
298,buenas,bueno,370.0
299,somos,ser,369.0
300,amor,amor,369.0
301,puerta,puerta,364.0
302,ves,ver,363.0
303,vaya,ir,363.0
304,ah,ah,363.0
305,suerte,suerte,358.0
306,eh,eh,357.0
307,rápido,rápido,357.0
308,cuenta,contar,177.0
309,cuenta,cuenta,177.0
310,quizás,quizás,352.0
311,esas,ese,349.0
312,pues,pues,348.0
313,pasado,pasar,172.0
314,pasado,pasado,172.0
315,pensé,pensar,344.0
316,todavía,todavía,340.0
317,hermano,hermano,340.0
318,debes,deber,338.0
319,casi,casi,338.0
320,forma,forma,337.0
321,aqui,aquí,336.0
322,chico,chico,335.0
323,ok,ok,334.0
324,dicho,decir,166.5
325,dicho,dicho,166.5
326,nueva,nuevo,166.0
327,nueva,nueva,166.0
328,sabía,saber,332.0
329,muchas,mucho,332.0
330,dentro,dentro,331.0
331,hice,hacer,330.0
332,contra,contra,329.0
333,auto,auto,327.0
334,camino,camino,162.5
335,camino,caminar,162.5
336,ayuda,ayuda,162.5
337,ayuda,ayudar,162.5
338,primera,primero,162.5
339,primera,primera,162.5
340,hacia,hacia,324.0
341,vi,ver,324.0
342,miedo,miedo,324.0
343,adiós,adiós,322.0
344,primero,primero,322.0
345,debería,deber,321.0
346,poder,poder,318.0
347,niños,niño,316.0
348,sería,ser,316.0
349,historia,historia,316.0
350,hey,hey,315.0
351,mientras,mientras,314.0
352,ciudad,ciudad,313.0
353,dijiste,decir,313.0
354,espero,esperar,310.0
355,cuánto,cuánto,309.0
356,esposa,esposa,154.5
357,esposa,esposar,154.5
358,pronto,pronto,308.0
359,chicos,chico,307.0
360,cualquier,cualquier,307.0
361,viejo,viejo,307.0
362,debemos,deber,307.0
363,deja,dejar,306.0
364,año,año,305.0
365,muerte,muerte,304.0
366,hablando,hablar,304.0
367,manos,mano,304.0
368,da,dar,304.0
369,loco,loco,303.0
370,problemas,problema,300.0
371,mano,mano,299.0
372,guerra,guerra,298.0
373,semana,semana,296.0
374,pasar,pasar,295.0
375,vale,valer,147.0
376,vale,vale,147.0
377,cuál,cuál,292.0
378,viene,venir,292.0
